id,fund_id,object_id,name,funded_at,raised_amount,raised_currency_code,raised_amount_usd,funded_object_id,investor_object_id
625,625,f:6,Founders Fund III,2010-01-01,250000000.0,USD,,c:836,p:2268
276,276,f:5401,2010 Jumpstart Fund,2010-01-01,120000.0,USD,10000000.0,c:326,f:11
1659,1659,f:6338,Omnivore Capital 1,2010-01-01,40000000.0,USD,,c:2644,f:858
694,694,f:3800,AOL Ventures I,2010-01-01,30000000.0,USD,,c:800,c:25
1658,1658,f:6338,Omnivore Capital 1,2010-01-01,40.0,USD,,c:2644,p:5149
1658,1658,f:6338,Omnivore Capital 1,2010-01-01,40.0,USD,,c:2644,f:858
454,454,f:2970,Inveready First Capital,2010-01-01,0.0,EUR,,c:509,f:258
1380,1380,f:3576,Oxford Gateway Portfolio,2010-01-01,12748000.0,GBP,,c:1819,f:54
1659,1659,f:6338,Omnivore Capital 1,2010-01-01,40000000.0,USD,,c:2644,p:5149
276,276,f:5401,2010 Jumpstart Fund,2010-01-01,120000.0,USD,10000000.0,c:326,f:147
918,918,f:6973,Pilot Fund,2010-01-01,888000.0,USD,,c:1298,p:13307
918,918,f:6973,Pilot Fund,2010-01-01,888000.0,USD,,c:1298,p:3379
918,918,f:6973,Pilot Fund,2010-01-01,888000.0,USD,,c:1298,f:517
1380,1380,f:3576,Oxford Gateway Portfolio,2010-01-01,12748000.0,GBP,,c:1819,f:755
1380,1380,f:3576,Oxford Gateway Portfolio,2010-01-01,12748000.0,GBP,,c:1819,f:756
1177,1177,f:214,Early-Stage Technology Fund '10,2010-01-01,100000000.0,USD,,c:1605,f:31
1380,1380,f:3576,Oxford Gateway Portfolio,2010-01-01,12748000.0,GBP,,c:1819,f:754
1659,1659,f:6338,Omnivore Capital 1,2010-01-01,40000000.0,USD,,c:2644,f:379
1068,1068,f:1510,Digital Investments,2010-01-01,9000000.0,EUR,,c:1484,f:592
276,276,f:5401,2010 Jumpstart Fund,2010-01-01,120000.0,USD,10000000.0,c:326,f:109
862,862,f:338,Artiman Ventures III,2010-01-01,200000000.0,USD,,c:1221,f:4
1068,1068,f:1510,Digital Investments,2010-01-01,9000000.0,EUR,,c:1484,f:589
276,276,f:5401,2010 Jumpstart Fund,2010-01-01,120000.0,USD,10000000.0,c:326,f:204
1473,1473,f:7515,Newion Investments II,2010-01-01,50000000.0,EUR,,c:1795,f:712
1068,1068,f:1510,Digital Investments,2010-01-01,9000000.0,EUR,,c:1484,f:591
1473,1473,f:7515,Newion Investments II,2010-01-01,50000000.0,EUR,,c:1795,f:510
1068,1068,f:1510,Digital Investments,2010-01-01,9000000.0,EUR,,c:1484,f:590
1659,1659,f:6338,Omnivore Capital 1,2010-01-01,40000000.0,USD,,c:2644,c:2718
1659,1659,f:6338,Omnivore Capital 1,2010-01-01,40000000.0,USD,,c:2644,c:2719
864,864,f:9295,FIP Precursor II,2010-01-01,27000000.0,USD,,c:1222,c:2520
1087,1087,f:10732,MEVF,2010-01-01,10000000.0,USD,,c:1511,f:12
266,266,f:5283,Military Technology Company,2010-01-01,1100000.0,USD,,c:314,c:2520
1659,1659,f:6338,Omnivore Capital 1,2010-01-01,40000000.0,USD,,c:2644,f:733
1068,1068,f:1510,Digital Investments,2010-01-01,9000000.0,EUR,,c:1484,f:72
1659,1659,f:6338,Omnivore Capital 1,2010-01-01,40000000.0,USD,,c:2644,f:426
1659,1659,f:6338,Omnivore Capital 1,2010-01-01,40000000.0,USD,,c:2644,f:51
1659,1659,f:6338,Omnivore Capital 1,2010-01-01,40000000.0,USD,,c:2644,f:869
1473,1473,f:7515,Newion Investments II,2010-01-01,50000000.0,EUR,,c:1795,f:1496
1473,1473,f:7515,Newion Investments II,2010-01-01,50000000.0,EUR,,c:1795,f:17
159,159,f:4172,Nazca III,2010-01-04,150000000.0,EUR,,c:179,f:123
161,161,f:3231,New River Management VI,2010-01-05,100000000.0,USD,,c:180,f:67
160,160,f:2174,Ohio TechAngel Fund III,2010-01-05,2450000.0,USD,,c:175,f:124
161,161,f:3231,New River Management VI,2010-01-05,100000000.0,USD,,c:180,f:125
161,161,f:3231,New River Management VI,2010-01-05,100000000.0,USD,,c:180,f:126
161,161,f:3231,New River Management VI,2010-01-05,100000000.0,USD,,c:180,f:127
164,164,f:2250,Fourth health care venture fund,2010-01-05,312000000.0,USD,,c:182,c:94
161,161,f:3231,New River Management VI,2010-01-05,100000000.0,USD,,c:180,f:128
162,162,f:477,Flywheel II,2010-01-06,35000000.0,USD,,c:181,f:129
165,165,f:2640,River Fund VI,2010-01-06,100000000.0,USD,,c:184,p:628
165,165,f:2640,River Fund VI,2010-01-06,100000000.0,USD,,c:184,p:429
166,166,f:316,Thirteenth Fund,2010-01-06,2500000000.0,USD,,c:184,c:185
170,170,f:4214,First Restructuring Fund,2010-01-11,200000000.0,EUR,,c:187,f:131
170,170,f:4214,First Restructuring Fund,2010-01-11,200000000.0,EUR,,c:187,f:133
171,171,f:3897,BioMedInvest II L.P.,2010-01-12,104000000.0,USD,,c:187,f:133
171,171,f:3897,BioMedInvest II L.P.,2010-01-12,104000000.0,USD,,c:187,f:131
171,171,f:3897,BioMedInvest II L.P.,2010-01-12,104000000.0,USD,,c:187,f:134
173,173,f:4240,uardian Capital Partners Fund I,2010-01-14,50000000.0,USD,,c:180,f:128
173,173,f:4240,uardian Capital Partners Fund I,2010-01-14,50000000.0,USD,,c:180,f:127
174,174,f:2278,French fund I,2010-01-14,100000000.0,EUR,,c:180,f:126
175,175,f:4251,Aster II,2010-01-15,105000000.0,EUR,,c:180,f:135
228,228,f:4642,Moai Capital,2010-01-16,5000000.0,EUR,,c:247,f:168
