id,fund_id,object_id,name,funded_at,raised_amount,raised_currency_code,raised_amount_usd,funded_object_id,investor_object_id
129,129,f:1407,Conor Technology Fund I Ky,2006-01-01,30000000.0,USD,,c:153,f:102
129,129,f:1407,Conor Technology Fund I Ky,2006-01-01,30000000.0,USD,,c:153,f:48
1281,1281,f:269,Fund IV,2006-01-01,300000000.0,USD,,c:1745,f:717
1667,1667,f:562,Sierra Ventures IX,2006-01-01,400000000.0,USD,,c:2750,c:2520
129,129,f:1407,Conor Technology Fund I Ky,2006-01-01,30000000.0,USD,,c:153,f:1080
129,129,f:1407,Conor Technology Fund I Ky,2006-01-01,30000000.0,USD,,c:153,f:2
423,423,f:3521,Via Venture Fund I,2006-01-01,134000000.0,EUR,,c:538,p:570
423,423,f:3521,Via Venture Fund I,2006-01-01,134000000.0,EUR,,c:538,f:41
1382,1382,f:3576,Oxford Gateway Fund 3,2006-01-01,11636000.0,GBP,,c:1822,f:758
129,129,f:1407,Conor Technology Fund I Ky,2006-01-01,30000000.0,USD,,c:153,f:100
263,263,f:375,Greycroft Partners I,2006-01-01,75000000.0,USD,,c:316,p:113
129,129,f:1407,Conor Technology Fund I Ky,2006-01-01,30000000.0,USD,,c:153,p:1438
45,45,f:892,GGV Capital III,2006-01-01,0.0,USD,,c:58,f:2
679,679,f:1170,Fund IV,2006-01-01,105000000.0,USD,,c:937,f:419
45,45,f:892,GGV Capital III,2006-01-01,0.0,USD,,c:58,f:5
45,45,f:892,GGV Capital III,2006-01-01,0.0,USD,,c:58,f:46
776,776,f:190,Brightspark Ventures II LP,2006-01-01,60000000.0,USD,,c:1075,f:72
776,776,f:190,Brightspark Ventures II LP,2006-01-01,60000000.0,USD,,c:1075,f:215
45,45,f:892,GGV Capital III,2006-01-01,0.0,USD,,c:58,f:48
493,493,f:7632,Crossmedia Fund,2006-01-01,150000000.0,EUR,,c:600,f:17
263,263,f:375,Greycroft Partners I,2006-01-01,75000000.0,USD,,c:316,f:42
423,423,f:3521,Via Venture Fund I,2006-01-01,134000000.0,EUR,,c:538,f:137
131,131,f:2140,5AM Ventures II,2006-01-01,150000000.0,USD,,c:155,f:741
131,131,f:2140,5AM Ventures II,2006-01-01,150000000.0,USD,,c:155,f:91
263,263,f:375,Greycroft Partners I,2006-01-01,75000000.0,USD,,c:316,f:29
129,129,f:1407,Conor Technology Fund I Ky,2006-01-01,30000000.0,USD,,c:153,p:450
423,423,f:3521,Via Venture Fund I,2006-01-01,134000000.0,EUR,,c:538,f:48
263,263,f:375,Greycroft Partners I,2006-01-01,75000000.0,USD,,c:316,f:4379
263,263,f:375,Greycroft Partners I,2006-01-01,75000000.0,USD,,c:316,f:3181
263,263,f:375,Greycroft Partners I,2006-01-01,75000000.0,USD,,c:316,p:570
263,263,f:375,Greycroft Partners I,2006-01-01,75000000.0,USD,,c:316,p:450
263,263,f:375,Greycroft Partners I,2006-01-01,75000000.0,USD,,c:316,p:1064
45,45,f:892,GGV Capital III,2006-01-01,0.0,USD,,c:58,f:262
263,263,f:375,Greycroft Partners I,2006-01-01,75000000.0,USD,,c:316,p:2267
131,131,f:2140,5AM Ventures II,2006-01-01,150000000.0,USD,,c:155,f:25
131,131,f:2140,5AM Ventures II,2006-01-01,150000000.0,USD,,c:155,f:26
263,263,f:375,Greycroft Partners I,2006-01-01,75000000.0,USD,,c:316,f:2
1151,1151,f:239,Nauta Tech Invest II,2006-01-07,50000000.0,EUR,,c:1573,f:626
288,288,f:342,"Finam Technology Fund, I",2006-03-01,0.0,USD,,c:336,f:215
617,617,f:3739,MIC Asia Technology Limited Liability Fund,2006-03-31,4600000000.0,JPY,,c:829,f:387
1042,1042,f:621,Rho Canada Ventures I,2006-04-01,100000000.0,CAD,25000000.0,c:1448,f:91
1042,1042,f:621,Rho Canada Ventures I,2006-04-01,100000000.0,CAD,25000000.0,c:1448,f:277
1042,1042,f:621,Rho Canada Ventures I,2006-04-01,100000000.0,CAD,25000000.0,c:1448,f:224
1042,1042,f:621,Rho Canada Ventures I,2006-04-01,100000000.0,CAD,25000000.0,c:1448,f:578
794,794,f:392,Focus Ventures III,2006-04-18,250000000.0,USD,,c:1111,f:49
117,117,f:3506,Innogest Capital,2006-05-01,80000000.0,EUR,,c:135,f:105
290,290,f:1926,NV Partners IV LP,2006-06-06,275000000.0,USD,,c:325,f:507
290,290,f:1926,NV Partners IV LP,2006-06-06,275000000.0,USD,,c:325,f:4
273,273,f:624,SEP III,2006-09-01,160000000.0,GBP,,c:320,f:204
1642,1642,f:5497,Espírito Santo Ventures II,2006-09-01,88000000.0,EUR,,c:2644,f:47
597,597,f:966,Amadeus & Angels Seed Fund,2006-11-06,20.0,GBP,,c:804,f:374
597,597,f:966,Amadeus & Angels Seed Fund,2006-11-06,20.0,GBP,,c:804,f:373
759,759,f:7238,Inflexion Fund II,2006-11-13,165000000.0,GBP,,c:1051,f:4
886,886,f:2288,Bio Generation Fund,2006-11-17,0.0,USD,,c:1261,p:3288
1562,1562,f:105,Benchmark Capital III,2006-12-01,550000000.0,USD,,c:2400,p:6083
1580,1580,f:13274,Gobi HiTech Fund,2007-01-01,0.0,USD,,c:2478,p:6191
1580,1580,f:13274,Gobi HiTech Fund,2007-01-01,0.0,USD,,c:2478,p:6194
1580,1580,f:13274,Gobi HiTech Fund,2007-01-01,0.0,USD,,c:2478,p:6193
1383,1383,f:3576,Oxford Gateway Fund 4,2007-01-01,12339000.0,GBP,,c:1297,f:759
1580,1580,f:13274,Gobi HiTech Fund,2007-01-01,0.0,USD,,c:2478,p:6192
1631,1631,f:26,DFJ Fund IX,2007-01-01,690000000.0,USD,,c:766,f:837
1453,1453,f:1165,TCEE Fund II,2007-01-01,40000000.0,EUR,,c:1891,f:796
1453,1453,f:1165,TCEE Fund II,2007-01-01,40000000.0,EUR,,c:1891,f:793
1453,1453,f:1165,TCEE Fund II,2007-01-01,40000000.0,EUR,,c:1891,p:5072
923,923,f:8631,Fund I,2007-01-01,0.0,EUR,,c:16954,f:235
923,923,f:8631,Fund I,2007-01-01,0.0,EUR,,c:16954,f:137
923,923,f:8631,Fund I,2007-01-01,0.0,EUR,,c:16954,f:139
798,798,f:99,Pitango Venture Capital Fund V,2007-01-01,330000000.0,USD,240000000.0,c:5,c:1242
34,34,f:174,second fund,2007-01-01,200000000.0,USD,,c:40,p:2466
34,34,f:174,second fund,2007-01-01,200000000.0,USD,,c:40,f:34
289,289,f:2535,Silver Lake Partners III,2007-01-01,9600000000.0,USD,,c:327,f:30
195,195,f:952,Ventech Capital III,2007-01-01,151000000.0,EUR,,c:158,f:114
34,34,f:174,second fund,2007-01-01,200000000.0,USD,,c:40,f:37
34,34,f:174,second fund,2007-01-01,200000000.0,USD,,c:40,f:36
434,434,f:1890,VII,2007-01-01,400000000.0,USD,,c:768,f:26
434,434,f:1890,VII,2007-01-01,400000000.0,USD,,c:768,f:1033
434,434,f:1890,VII,2007-01-01,400000000.0,USD,,c:768,f:719
34,34,f:174,second fund,2007-01-01,200000000.0,USD,,c:40,f:421
195,195,f:952,Ventech Capital III,2007-01-01,151000000.0,EUR,,c:158,f:41
408,408,f:6535,Founding fund,2007-01-01,175000000.0,USD,,c:525,f:148
408,408,f:6535,Founding fund,2007-01-01,175000000.0,USD,,c:525,f:1080
57,57,f:2472,$550M HealthCare Fund,2007-03-05,550000000.0,USD,,c:78,c:15308
57,57,f:2472,$550M HealthCare Fund,2007-03-05,550000000.0,USD,,c:78,c:41
57,57,f:2472,$550M HealthCare Fund,2007-03-05,550000000.0,USD,,c:78,c:79
980,980,f:379,WI Harper Fund VI,2007-03-08,133000000.0,USD,,c:1367,f:443
980,980,f:379,WI Harper Fund VI,2007-03-08,133000000.0,USD,,c:1367,f:522
40,40,f:13,Redpoint Omega,2007-03-13,250000000.0,USD,,c:53,f:42
17,17,f:1868,Cisco-Pentagon-Intelsat communications,2007-04-01,200000000.0,USD,,c:26,p:98
69,69,f:102,Third Fund,2007-04-11,82000000.0,USD,,c:89,f:121
69,69,f:102,Third Fund,2007-04-11,82000000.0,USD,,c:89,f:120
36,36,f:191,Venrock V,2007-04-25,600000000.0,USD,,c:44,f:1287
36,36,f:191,Venrock V,2007-04-25,600000000.0,USD,,c:44,f:36
12,12,f:1846,Roll Up Strategy,2007-05-01,250000000.0,USD,,c:16,f:10
12,12,f:1846,Roll Up Strategy,2007-05-01,250000000.0,USD,,c:16,f:1262
12,12,f:1846,Roll Up Strategy,2007-05-01,250000000.0,USD,,c:16,f:8
12,12,f:1846,Roll Up Strategy,2007-05-01,250000000.0,USD,,c:16,f:11
84,84,f:2261,BioAsia Investments,2007-05-09,275000000.0,USD,,c:97,f:69
84,84,f:2261,BioAsia Investments,2007-05-09,275000000.0,USD,,c:97,f:70
31,31,f:484,IVP Fund -- May 2007,2007-05-18,600000000.0,USD,,c:35,f:30
31,31,f:484,IVP Fund -- May 2007,2007-05-18,600000000.0,USD,,c:35,f:18
31,31,f:484,IVP Fund -- May 2007,2007-05-18,600000000.0,USD,,c:35,f:29
31,31,f:484,IVP Fund -- May 2007,2007-05-18,600000000.0,USD,,c:35,f:31
32,32,f:338,Artiman Ventures Fund II,2007-05-21,185000000.0,USD,2250000.0,c:38,f:242
32,32,f:338,Artiman Ventures Fund II,2007-05-21,185000000.0,USD,2250000.0,c:38,p:125
32,32,f:338,Artiman Ventures Fund II,2007-05-21,185000000.0,USD,2250000.0,c:38,f:32
32,32,f:338,Artiman Ventures Fund II,2007-05-21,185000000.0,USD,2250000.0,c:38,f:26
735,735,f:8869,DGF Capital II (FIPAC),2007-06-01,60000000.0,USD,,c:995,f:1473
735,735,f:8869,DGF Capital II (FIPAC),2007-06-01,60000000.0,USD,,c:995,f:286
735,735,f:8869,DGF Capital II (FIPAC),2007-06-01,60000000.0,USD,,c:995,f:94
136,136,f:1801,QuestMark Partners III,2007-06-01,300000000.0,USD,,c:157,f:95
136,136,f:1801,QuestMark Partners III,2007-06-01,300000000.0,USD,,c:157,f:105
80,80,f:130,Cleantech Infrastructure Fund,2007-06-22,300000000.0,USD,,c:73,f:65
336,336,f:3987,Stonebridge Performance & Art Fund,2007-07-01,10000000.0,USD,,c:410,f:42
1143,1143,f:2055,Hopstop,2007-07-01,2000000.0,USD,,c:1229,p:3946
336,336,f:3987,Stonebridge Performance & Art Fund,2007-07-01,10000000.0,USD,,c:410,f:102
914,914,f:1228,Fund II,2007-07-01,23700000.0,USD,,c:1296,f:313
1143,1143,f:2055,Hopstop,2007-07-01,2000000.0,USD,,c:1229,p:16050
953,953,f:1176,Highgrowth Innovation,2007-07-01,18000000.0,USD,,c:1330,p:2239
1143,1143,f:2055,Hopstop,2007-07-01,2000000.0,USD,,c:1229,p:1390
1143,1143,f:2055,Hopstop,2007-07-01,2000000.0,USD,,c:1229,p:2118
1143,1143,f:2055,Hopstop,2007-07-01,2000000.0,USD,,c:1229,c:1230
1143,1143,f:2055,Hopstop,2007-07-01,2000000.0,USD,,c:1229,p:10536
914,914,f:1228,Fund II,2007-07-01,23700000.0,USD,,c:1296,p:3377
27,27,f:137,Battery Fund,2007-07-06,750000000.0,USD,2500000.0,c:34,f:127
28,28,f:1473,SVB July 2007 Fund,2007-07-06,255000000.0,USD,5500000.0,c:34,f:127
28,28,f:1473,SVB July 2007 Fund,2007-07-06,255000000.0,USD,5500000.0,c:34,f:67
28,28,f:1473,SVB July 2007 Fund,2007-07-06,255000000.0,USD,5500000.0,c:34,c:1230
28,28,f:1473,SVB July 2007 Fund,2007-07-06,255000000.0,USD,5500000.0,c:34,p:121392
28,28,f:1473,SVB July 2007 Fund,2007-07-06,255000000.0,USD,5500000.0,c:34,p:3222
28,28,f:1473,SVB July 2007 Fund,2007-07-06,255000000.0,USD,5500000.0,c:34,p:1390
27,27,f:137,Battery Fund,2007-07-06,750000000.0,USD,2500000.0,c:34,f:67
427,427,f:1980,Fina II (Finatech BDC),2007-07-07,80000000.0,USD,,c:49,f:13
427,427,f:1980,Fina II (Finatech BDC),2007-07-07,80000000.0,USD,,c:49,f:61
11,11,f:1846,Roll Up Strategy,2007-07-09,100000000.0,USD,,c:15,f:14
39,39,f:521,India Investment,2007-07-17,189000000.0,USD,,c:53,f:41
30,30,f:34,Spark Media Fund II,2007-07-18,360000000.0,USD,,c:27,f:262
226,226,f:569,DFJ Gotham Venture Fund II,2007-07-30,16400000.0,USD,,c:126,f:166
992,992,f:9467,Disruptive Innovation Fund,2007-08-01,0.0,USD,,c:650,f:283
126,126,f:116,MDV IX,2007-08-24,580000000.0,USD,,c:139,f:55
82,82,f:1793,energy fund,2007-08-28,75000000.0,USD,,c:96,f:66
82,82,f:1793,energy fund,2007-08-28,75000000.0,USD,,c:96,f:68
82,82,f:1793,energy fund,2007-08-28,75000000.0,USD,,c:96,f:67
58,58,f:2535,Silver Lake Sumeru,2007-08-30,726000000.0,USD,,c:78,c:79
58,58,f:2535,Silver Lake Sumeru,2007-08-30,726000000.0,USD,,c:78,c:41
58,58,f:2535,Silver Lake Sumeru,2007-08-30,726000000.0,USD,,c:78,c:15308
83,83,f:2255,CalPERS,2007-09-10,700000000.0,USD,,c:97,f:71
83,83,f:2255,CalPERS,2007-09-10,700000000.0,USD,,c:97,f:69
83,83,f:2255,CalPERS,2007-09-10,700000000.0,USD,,c:97,f:70
20,20,f:1882,Exchange Traded Funds,2007-09-19,10000000.0,USD,,c:27,f:17
20,20,f:1882,Exchange Traded Funds,2007-09-19,10000000.0,USD,,c:27,f:3181
19,19,f:166,venture fund,2007-09-20,365000000.0,USD,,c:23,p:3789
19,19,f:166,venture fund,2007-09-20,365000000.0,USD,,c:23,f:18
19,19,f:166,venture fund,2007-09-20,365000000.0,USD,,c:23,f:17
18,18,f:745,"Foundry Venture Capital 2007, L.P.",2007-09-20,225000000.0,USD,,c:22,f:16
10,10,f:1829,Sequoia Capital Investment,2007-09-23,5000000.0,USD,,c:15,c:2520
